Date,BB_UPPER,BB_MIDDLE,BB_LOWER
2023-01-12,0.8893509677997713,0.8799405,0.8705300322002287
2023-01-13,0.8902823017081656,0.8807569999999998,0.871231698291834
2023-01-16,0.8898713207509445,0.8815010000000001,0.8731306792490556
2023-01-17,0.8898818743556584,0.882212,0.8745421256443416
2023-01-18,0.8886611884565135,0.8825495,0.8764378115434864
2023-01-19,0.8892307609937747,0.8823565,0.8754822390062252
2023-01-20,0.8898092764515746,0.8820475,0.8742857235484254
2023-01-23,0.890049638618075,0.8818785,0.8737073613819251
2023-01-24,0.8900869846985809,0.8817755,0.8734640153014191
2023-01-25,0.8899405523120469,0.8817005,0.8734604476879531
2023-01-26,0.8897407555934331,0.881513,0.8732852444065669
2023-01-27,0.8895113792015188,0.881179,0.8728466207984813
2023-01-30,0.8892485200940693,0.880805,0.8723614799059306
2023-01-31,0.8887237370644179,0.880475,0.8722262629355821
2023-02-01,0.8888350774920737,0.8805465,0.8722579225079263
2023-02-02,0.8901084333384475,0.8810229999999999,0.8719375666615523
2023-02-03,0.8917759744395587,0.8814639999999999,0.8711520255604411
2023-02-06,0.8943676385308399,0.8822829999999999,0.87019836146916
2023-02-07,0.8956607191717325,0.8828514999999999,0.8700422808282673
2023-02-08,0.8963846780451287,0.8831790000000002,0.8699733219548716
2023-02-09,0.8966130924872182,0.8832924999999999,0.8699719075127816
2023-02-10,0.8963428138247701,0.8831810000000001,0.8700191861752301
2023-02-13,0.8963974299173472,0.883212,0.8700265700826528
2023-02-14,0.8960629749250604,0.8830045,0.8699460250749396
2023-02-15,0.8960613083230357,0.883183,0.8703046916769644
2023-02-16,0.8962319615946804,0.8838675,0.8715030384053196
2023-02-17,0.8965035248426367,0.8846910000000001,0.8728784751573635
2023-02-20,0.8964167976355415,0.8853119999999999,0.8742072023644583
2023-02-21,0.8963630768160791,0.8857645,0.8751659231839208
2023-02-22,0.8964846134767299,0.8856014999999999,0.8747183865232699
2023-02-23,0.8964610320018374,0.8856219999999999,0.8747829679981625
2023-02-24,0.8961424374040007,0.8858425000000001,0.8755425625959995
2023-02-27,0.8956262441385527,0.8861589999999999,0.8766917558614471
2023-02-28,0.8955123084829052,0.8862105,0.8769086915170948
2023-03-01,0.8957661926199366,0.886036,0.8763058073800635
2023-03-02,0.895577916109102,0.8859355000000001,0.8762930838908982
2023-03-03,0.8948929059158628,0.885675,0.8764570940841372
2023-03-06,0.8929763583583564,0.8850515,0.8771266416416436
2023-03-07,0.8922570056390965,0.8848650000000001,0.8774729943609038
2023-03-08,0.8926233694692828,0.8849495,0.8772756305307171
2023-03-09,0.8930266277560712,0.8850805000000002,0.8771343722439291
2023-03-10,0.8931444520554959,0.885137,0.877129547944504
2023-03-13,0.8930685062629623,0.885063,0.8770574937370378
2023-03-14,0.8931187445335266,0.8849724999999999,0.8768262554664733
2023-03-15,0.89309812846542,0.8850215,0.87694487153458
2023-03-16,0.8932045180193195,0.884446,0.8756874819806804
2023-03-17,0.8927109031675998,0.8837304999999999,0.8747500968323999
2023-03-20,0.8924728382902364,0.8831315,0.8737901617097635
2023-03-21,0.8925547777953442,0.8824335,0.8723122222046558
2023-03-22,0.8925616180082563,0.882504,0.8724463819917436
2023-03-23,0.8928062387380273,0.8827440000000001,0.8726817612619728
2023-03-24,0.8928100115098817,0.88275,0.8726899884901184
2023-03-27,0.8927385299564027,0.8825755,0.8724124700435972
2023-03-28,0.8927549746491816,0.8825355,0.8723160253508184
